Image ID,Image.name,Annotation status,Points,AcrCerv,AcrPalm,AgAga,AgTen,AgUnd,BL_OrbFav,BORB,CoNat,DiplLab,FaviaFrag,MontaCav,OrbAnn,OrbFav,OrbFrank,PorAstr,Por_branch,PorPor,PseuCliv,PseuStrig,Siderastr,SidSid,ANEM,Feat_dust,GORG-BRI,Gorg_Fan,Gorg_Plume,Gorg_Whip,Hydra,Millepora,PCAR,Spong_Crus,Spong_Erec,Spong_Glo,Film_Sand,Sand,Bare_Rock,CCA_LR,Cyano_HR,Cyano_LR,Cyano_RBL,Cyano_Sand,Debris,ACA,Brown_Enc,Brown_UFM,CCA_HR,CCA_RBL,Dictyota,EAM_HR,EAM_LR,EAM_RBL,Green_UFM,Halimeda,Lobophora,Mac_matrix,Red_Enc,Red_UFM,Sargassum,Ulva,SyrFil,ThalTes
6097820,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q06_25m_P6250619_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,4,0,0,0,0,0,0
6097821,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q07_20m_P6250351_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0,0,0,4,0,0,0,0
6097822,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q08_15m_P6250625_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
6097823,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q09_10m_P6250356_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,4,8,36,0,0,0,0,8,0,4,0,0,0,0
6097824,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q10_5m_P6250627_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,16,8,8,0,0,0,0,0,0,0,0,16,0,0,0,36,0,0,0,0,4,0,0,0,0,0,0
6097825,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q01_50m_P6260383_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,4,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
6097826,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q02_45m_P6260668_R.JPG,Confirmed,25,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6097827,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q03_40m_P6260398_R.JPG,Confirmed,25,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6097828,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q04_35m_P6260673_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,8,0,0,0,24,0,4,0,52,0,0,0,0,4,0,0,0,0,0,0
6097829,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q05_30m_P6260416_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,8,0,44,0,0,0,0,0,0,0,0,0,0,0
